SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
Substation1,1,01/01/2022,14,76,47,61,0,14.3386471,120.9369394
Substation1,1,01/02/2022,25,45,33,41,1,14.3386471,120.9369394
Substation1,1,01/03/2022,10,52,29,46,0,14.3386471,120.9369394
Substation1,1,01/04/2022,10,60,52,53,0,14.3386471,120.9369394
Substation1,1,01/05/2022,2,81,39,49,0,14.3386471,120.9369394
Substation1,1,01/06/2022,9,102,75,74,0,14.3386471,120.9369394
Substation1,1,01/07/2022,9,90,57,63,0,14.3386471,120.9369394
Substation1,1,01/08/2022,10,126,68,86,0,14.3386471,120.9369394
Substation1,1,01/09/2022,16,167,106,130,0,14.3386471,120.9369394
Substation1,1,01/10/2022,33,226,243,142,1,14.3386471,120.9369394
Substation1,1,01/11/2022,24,222,156,175,0,14.3386471,120.9369394
Substation1,1,01/12/2022,11,220,240,196,0,14.3386471,120.9369394
Substation1,1,1/13/22,53,239,258,184,0,14.3386471,120.9369394
Substation1,1,1/14/22,24,232,181,168,0,14.3386471,120.9369394
Substation1,1,1/15/22,30,283,253,218,0,14.3386471,120.9369394
Substation1,1,1/16/22,15,240,260,172,0,14.3386471,120.9369394
Substation1,1,1/17/22,0,243,293,205,0,14.3386471,120.9369394
Substation1,1,1/18/22,18,290,368,227,0,14.3386471,120.9369394
Substation1,1,1/19/22,15,267,311,230,0,14.3386471,120.9369394
Substation1,1,1/20/22,19,270,324,225,0,14.3386471,120.9369394
Substation1,1,1/21/22,16,255,401,217,0,14.3386471,120.9369394
Substation1,1,1/22/22,4,207,354,214,0,14.3386471,120.9369394
Substation1,1,1/23/22,10,141,369,206,0,14.3386471,120.9369394
Substation1,1,1/24/22,51,0,271,141,0,14.3386471,120.9369394
Substation1,1,1/25/22,6,0,336,171,0,14.3386471,120.9369394
Substation1,1,1/26/22,4,238,343,169,0,14.3386471,120.9369394
Substation1,1,1/27/22,36,279,489,209,0,14.3386471,120.9369394
Substation1,1,1/28/22,2,175,419,182,0,14.3386471,120.9369394
Substation1,1,1/29/22,2,0,487,204,0,14.3386471,120.9369394
Substation1,1,1/30/22,45,213,363,148,0,14.3386471,120.9369394
Substation1,1,1/31/22,14,303,581,212,0,14.3386471,120.9369394
Substation1,1,02/01/2022,2,276,547,162,0,14.3386471,120.9369394
